,review_month,dominant_topic,sentiment_pred,count,share
195,2010-03-01,0,negative,2,0.18181818181818182
196,2010-03-01,0,neutral,1,0.09090909090909091
197,2010-03-01,0,positive,8,0.7272727272727273
198,2010-03-01,2,negative,1,1.0
199,2010-03-01,4,negative,1,0.3333333333333333
200,2010-03-01,4,neutral,1,0.3333333333333333
201,2010-03-01,4,positive,1,0.3333333333333333
202,2010-03-01,6,negative,1,0.5
203,2010-03-01,6,neutral,1,0.5
204,2010-04-01,0,negative,3,0.75
205,2010-04-01,0,neutral,1,0.25
206,2010-04-01,2,negative,2,0.5
207,2010-04-01,2,positive,2,0.5
208,2010-04-01,4,neutral,1,0.25
209,2010-04-01,4,positive,3,0.75
210,2010-04-01,6,negative,1,0.5
211,2010-04-01,6,positive,1,0.5
212,2010-04-01,8,positive,1,1.0
213,2010-05-01,0,negative,3,0.2727272727272727
214,2010-05-01,0,neutral,2,0.18181818181818182
215,2010-05-01,0,positive,6,0.5454545454545454
216,2010-05-01,2,negative,1,0.5
217,2010-05-01,2,positive,1,0.5
218,2010-05-01,4,neutral,2,0.6666666666666666
219,2010-05-01,4,positive,1,0.3333333333333333
220,2010-05-01,6,positive,1,1.0
221,2010-05-01,8,positive,1,1.0
222,2010-06-01,0,negative,1,0.14285714285714285
223,2010-06-01,0,neutral,1,0.14285714285714285
224,2010-06-01,0,positive,5,0.7142857142857143
225,2010-06-01,4,negative,1,0.3333333333333333
226,2010-06-01,4,positive,2,0.6666666666666666
227,2010-06-01,6,negative,1,0.5
228,2010-06-01,6,positive,1,0.5
229,2010-06-01,8,negative,1,1.0
230,2010-07-01,0,positive,10,1.0
231,2010-07-01,2,positive,1,1.0
232,2010-07-01,4,positive,2,1.0
233,2010-07-01,6,positive,1,1.0
234,2010-08-01,0,positive,5,1.0
235,2010-08-01,4,positive,2,1.0
236,2010-08-01,6,positive,3,1.0
237,2010-08-01,8,neutral,1,0.3333333333333333
238,2010-08-01,8,positive,2,0.6666666666666666
239,2010-09-01,0,negative,1,0.125
240,2010-09-01,0,positive,7,0.875
241,2010-09-01,2,positive,1,1.0
242,2010-09-01,4,neutral,1,0.25
243,2010-09-01,4,positive,3,0.75
244,2010-09-01,6,neutral,1,1.0
245,2010-10-01,0,negative,1,0.2
246,2010-10-01,0,neutral,1,0.2
247,2010-10-01,0,positive,3,0.6
248,2010-10-01,2,positive,3,1.0
249,2010-10-01,4,neutral,2,0.3333333333333333
